Label	Type	ID	Database	
Differentiation	Pathway		
Mbp	GeneProduct	ENSMUSG00000041607	Ensembl
Foxd3	GeneProduct	ENSMUSG00000067261	Ensembl
Pax3	GeneProduct	ENSMUSG00000004872	Ensembl
Lhx1	GeneProduct	ENSMUSG00000018698	Ensembl
Lhx2	GeneProduct	ENSMUSG00000000247	Ensembl
Bmp4	GeneProduct	ENSMUSG00000021835	Ensembl
Fgf8	GeneProduct	ENSMUSG00000025219	Ensembl
Fgf15	GeneProduct	ENSMUSG00000031073	Ensembl
Sox10	GeneProduct	ENSMUSG00000033006	Ensembl
Pax3	GeneProduct	ENSMUSG00000004872	Ensembl
Pax7	GeneProduct	ENSMUSG00000028736	Ensembl
Sox5	GeneProduct	ENSMUSG00000041540	Ensembl
Mitf	GeneProduct	ENSMUSG00000035158	Ensembl
Hdac1	GeneProduct	ENSMUSG00000028800	Ensembl
Hdac2	GeneProduct	ENSMUSG00000019777	Ensembl
Hdac3	GeneProduct	ENSMUSG00000024454	Ensembl
Hdac4	GeneProduct	ENSMUSG00000026313	Ensembl
Hdac5	GeneProduct	ENSMUSG00000008855	Ensembl
Hdac6	GeneProduct	ENSMUSG00000031161	Ensembl
Hdac7	GeneProduct	ENSMUSG00000022475	Ensembl
Hdac8	GeneProduct	ENSMUSG00000067567	Ensembl
Hdac9	GeneProduct	ENSMUSG00000004698	Ensembl
Hdac10	GeneProduct	ENSMUSG00000062906	Ensembl
Hdac11	GeneProduct	ENSMUSG00000034245	Ensembl
Ctbp2	GeneProduct	ENSMUSG00000030970	Ensembl
Dct	GeneProduct	ENSMUSG00000022129	Ensembl
Sox5	GeneProduct	ENSMUSG00000041540	Ensembl
Sox9	GeneProduct	ENSMUSG00000000567	Ensembl
Col2a1	GeneProduct	ENSMUSG00000022483	Ensembl
Col11a2	GeneProduct	ENSMUSG00000024330	Ensembl
Mia1	GeneProduct	ENSMUSG00000089661	Ensembl
Wnt8a	GeneProduct	ENSMUSG00000012282	Ensembl
Hoxb1	GeneProduct	ENSMUSG00000018973	Ensembl
Prtg	GeneProduct	ENSMUSG00000036030	Ensembl
Olig3	GeneProduct	ENSMUSG00000045591	Ensembl
Tbx6	GeneProduct	ENSMUSG00000030699	Ensembl
Hoxa1	GeneProduct	ENSMUSG00000029844	Ensembl
Lhx5	GeneProduct	ENSMUSG00000029595	Ensembl
Tlx2	GeneProduct	ENSMUSG00000068327	Ensembl
Tcfap2b	GeneProduct	ENSMUSG00000025927	Ensembl
Dmbx1	GeneProduct	ENSMUSG00000028707	Ensembl
Hand1	GeneProduct	ENSMUSG00000037335	Ensembl
